overs_remaining,wickets_lost,resource_pct
0.0,8,1.1521
0.5,8,3.533
1.0,7,3.8018
1.0,8,4.8387
1.5,6,3.8402
1.5,7,5.6836
2.0,5,4.8387
2.0,6,4.1475
2.0,7,6.7972
2.5,5,5.8372
2.5,7,7.3733
3.0,5,7.3733
3.0,6,10.1382
3.0,7,9.9078
3.5,5,8.4485
3.5,6,11.6743
4.0,5,10.9063
4.0,6,13.0568
4.5,5,12.7496
4.5,6,14.1321
5.0,5,15.2074
5.0,6,14.2857
5.5,5,17.5115
5.5,6,14.977
6.0,5,18.894
6.0,6,16.2826
6.5,5,19.8157
6.5,6,16.8971
7.0,5,21.659
7.0,6,18.126
7.5,5,23.6559
7.5,6,18.7404
8.0,5,24.5776
8.0,6,19.6621
8.5,5,26.2673
8.5,6,21.9662
9.0,5,28.2642
9.0,6,22.5806
9.5,4,29.1859
9.5,5,23.5023
9.5,6,23.5023
10.0,4,30.1075
10.0,5,23.9631
10.5,4,31.49
10.5,5,25.9601
11.0,4,29.5699
11.5,4,30.6781
12.0,3,29.0323
12.0,4,32.9954
12.5,3,30.2611
12.5,4,36.4055
13.0,3,31.0292
13.0,4,37.6344
13.5,3,35.6375
13.5,4,38.7097
14.0,3,36.8664
14.5,3,37.7112
15.0,3,39.2473
15.5,3,40.169
16.0,3,41.3978
16.5,3,42.8571
17.0,3,44.3164
17.5,3,45.3149
18.0,3,46.5438
18.5,3,47.619
19.0,3,48.6175
19.5,3,49.6928
20.0,3,51.0753
20.5,3,51.7665
21.0,3,52.3041
21.5,3,52.5346
22.0,3,53.6866
22.5,3,54.9155
23.0,3,55.4531
23.5,3,56.0676
24.0,3,56.9892
24.5,3,58.5912
25.0,2,54.3779
25.0,3,61.0138
25.5,2,54.5315
25.5,3,67.8955
26.0,2,55.6068
26.0,3,69.4316
26.5,1,56.2212
26.5,2,56.2212
26.5,3,71.7358
27.0,1,56.9892
27.0,3,73.9631
27.5,1,59.6006
27.5,3,76.0369
28.0,1,61.5975
28.0,3,76.9585
28.5,1,62.212
28.5,3,77.2657
29.0,1,64.977
29.0,3,78.6482
29.5,1,65.4378
29.5,3,79.5699
30.0,1,66.1751
30.0,3,80.4916
30.5,1,67.1275
30.5,3,81.874
31.0,1,68.2028
31.0,3,82.4885
31.5,1,69.8925
31.5,3,82.9493
32.0,1,70.0461
32.0,3,84.639
32.5,1,70.0461
32.5,3,86.0215
33.0,1,70.0461
33.0,3,86.6359
33.5,1,71.8894
33.5,3,86.9432
34.0,1,71.8894
34.0,3,87.5576
34.5,1,73.2719
34.5,3,88.0184
35.0,1,74.3472
35.0,3,89.8618
35.5,1,75.1152
35.5,3,90.169
36.0,1,75.576
36.0,3,90.3226
36.5,0,78.0338
36.5,1,76.0369
36.5,3,90.7834
37.0,0,79.5699
37.0,3,91.0906
37.5,0,79.7235
37.5,3,91.5515
38.0,0,80.9524
38.0,3,91.7051
38.5,0,82.0276
38.5,3,92.9339
39.0,0,83.871
39.0,3,94.9309
39.5,0,83.871
39.5,2,95.3917
39.5,3,94.9309
40.0,0,83.871
40.0,2,95.8525
40.5,0,86.1751
40.5,2,97.8111
41.0,0,88.172
41.0,2,98.6175
41.5,0,92.4731
41.5,2,99.0783
42.0,0,93.0876
42.0,2,100.0
42.5,0,93.702
42.5,2,100.0
43.0,0,94.3164
43.0,1,100.3072
43.5,0,94.9309
43.5,1,100.4608
44.0,0,94.9309
44.0,1,100.768
44.5,0,94.9309
44.5,1,100.9217
45.0,0,95.0461
45.0,1,101.0753
45.5,0,96.1982
45.5,1,102.765
46.0,0,97.5422
46.0,1,103.2258
46.5,0,97.6959
46.5,1,103.2258
47.0,0,99.424
47.0,1,104.3779
47.5,0,102.0737
48.0,0,102.3041
48.5,0,102.1066
49.0,0,103.6208
49.5,0,103.6866
50.0,0,100.0
