overs_remaining,wickets_lost,resource_pct
0.0,1,0.7709
0.0,2,0.8067
0.0,3,0.9444
0.0,4,0.8591
0.0,5,0.8419
0.0,6,0.8558
0.0,7,0.7737
0.0,8,0.6929
0.0,9,0.597
0.0,10,0.0
0.5,1,3.1319
0.5,2,2.8851
0.5,3,3.3437
0.5,4,3.1472
0.5,5,3.159
0.5,6,3.0852
0.5,7,2.8301
0.5,8,2.511
0.5,9,1.9725
0.5,10,0.0
1.0,1,5.9018
1.0,2,4.8472
1.0,3,5.404
1.0,4,5.4188
1.0,5,5.3836
1.0,6,5.1043
1.0,7,4.8376
1.0,8,3.8793
1.0,9,2.7201
1.0,10,0.0
1.5,1,9.9175
1.5,2,6.8226
1.5,3,7.9014
1.5,4,7.4955
1.5,5,7.487
1.5,6,7.0396
1.5,7,6.4869
1.5,8,5.0071
1.5,9,3.4161
1.5,10,0.0
2.0,1,13.2321
2.0,2,8.6609
2.0,3,10.4494
2.0,4,9.4959
2.0,5,9.5546
2.0,6,8.7686
2.0,7,7.9527
2.0,8,6.0607
2.0,9,3.9354
2.0,10,0.0
2.5,0,6.6813
2.5,1,14.0188
2.5,2,11.2557
2.5,3,12.0681
2.5,4,11.809
2.5,5,11.6438
2.5,6,10.4607
2.5,7,9.2033
2.5,8,6.9924
2.5,9,4.2043
2.5,10,0.0
3.0,0,7.5165
3.0,1,16.7395
3.0,2,13.6062
3.0,3,14.0224
3.0,4,13.9229
3.0,5,13.2494
3.0,6,11.9111
3.0,7,10.2373
3.0,8,7.8824
3.0,9,4.5512
3.0,10,0.0
3.5,0,11.2747
3.5,1,17.5217
3.5,2,15.4962
3.5,3,16.1519
3.5,4,15.9678
3.5,5,14.6964
3.5,6,13.2597
3.5,7,11.2723
3.5,8,8.4113
3.5,9,4.6792
3.5,10,0.0
4.0,0,15.5897
4.0,1,19.0316
4.0,2,17.4001
4.0,3,18.335
4.0,4,17.6448
4.0,5,16.2058
4.0,6,14.2365
4.0,7,12.389
4.0,8,9.0333
4.0,9,4.7165
4.0,10,0.0
4.5,0,18.7911
4.5,1,20.7225
4.5,2,18.7452
4.5,3,20.3506
4.5,4,19.3624
4.5,5,17.5016
4.5,6,15.3666
4.5,7,13.4377
4.5,8,9.5269
4.5,9,4.8022
4.5,10,0.0
5.0,0,21.227
5.0,1,22.8341
5.0,2,20.6188
5.0,3,21.7719
5.0,4,20.9612
5.0,5,18.8578
5.0,6,16.3918
5.0,7,14.2147
5.0,8,10.2278
5.0,9,4.8076
5.0,10,0.0
5.5,0,22.8278
5.5,1,25.1968
5.5,2,23.0058
5.5,3,23.2622
5.5,4,22.6706
5.5,5,20.1512
5.5,6,17.5437
5.5,7,14.8405
5.5,8,10.4566
5.5,9,4.6869
5.5,10,0.0
6.0,0,25.3531
6.0,1,27.8836
6.0,2,24.6005
6.0,3,24.9045
6.0,4,23.7716
6.0,5,21.4414
6.0,6,18.5982
6.0,7,15.3304
6.0,8,10.779
6.0,9,4.6244
6.0,10,0.0
6.5,0,26.238
6.5,1,29.4454
6.5,2,26.5775
6.5,3,26.3313
6.5,4,25.3019
6.5,5,22.4356
6.5,6,19.5489
6.5,7,15.7674
6.5,8,10.8959
6.5,9,4.421
6.5,10,0.0
7.0,0,23.5237
7.0,1,31.0158
7.0,2,28.2076
7.0,3,28.0416
7.0,4,26.5368
7.0,5,23.441
7.0,6,20.2288
7.0,7,16.4664
7.0,8,10.5509
7.0,9,4.6436
7.0,10,0.0
7.5,0,26.1406
7.5,1,32.1882
7.5,2,29.9999
7.5,3,29.5277
7.5,4,27.4805
7.5,5,24.7119
7.5,6,21.1025
7.5,7,17.1132
7.5,8,10.4799
7.5,9,4.6367
7.5,10,0.0
8.0,0,30.4556
8.0,1,32.651
8.0,2,31.861
8.0,3,30.8295
8.0,4,28.5376
8.0,5,25.3774
8.0,6,21.6993
8.0,7,17.5958
8.0,8,10.6703
8.0,9,4.9802
8.0,10,0.0
8.5,0,34.2184
8.5,1,34.4623
8.5,2,33.4479
8.5,3,32.1096
8.5,4,29.5418
8.5,5,26.2213
8.5,6,22.6293
8.5,7,17.7061
8.5,8,10.8749
8.5,9,5.156
8.5,10,0.0
9.0,0,35.6482
9.0,1,35.7509
9.0,2,34.8827
9.0,3,33.4288
9.0,4,30.6126
9.0,5,27.0185
9.0,6,23.3626
9.0,7,17.6761
9.0,8,11.3665
9.0,9,4.7764
9.0,10,0.0
9.5,0,35.9294
9.5,1,37.839
9.5,2,36.2176
9.5,3,34.5914
9.5,4,31.4533
9.5,5,27.8872
9.5,6,23.8968
9.5,7,17.9185
9.5,8,11.6054
9.5,9,5.0421
9.5,10,0.0
10.0,0,39.3048
10.0,1,39.373
